"id","rep","stride.intervals","drops","stride.intervals.cut","stride.intervals.new.length","h.original","h.random","h.contiguous"
"S045_G02_D02_B03_T01",100,50,0.02,1,49,0.498581111567095,0.504127354361464,0.509905120219453
"S045_G02_D02_B03_T01",100,50,0.04,2,48,0.498581111567095,0.510856724000785,0.511886537946553
"S045_G02_D02_B03_T01",100,50,0.06,3,47,0.498581111567095,0.508024239745871,0.507547523909705
"S045_G02_D02_B03_T01",100,50,0.08,4,46,0.498581111567095,0.510832283495259,0.509098684268491
"S045_G02_D02_B03_T01",100,50,0.1,5,45,0.498581111567095,0.505609184836727,0.511980164212384
"S045_G02_D02_B03_T01",100,100,0.02,2,98,0.450474514446221,0.45521992214313,0.452842611700145
"S045_G02_D02_B03_T01",100,100,0.04,4,96,0.450474514446221,0.457231524776211,0.45176217869973
"S045_G02_D02_B03_T01",100,100,0.06,6,94,0.450474514446221,0.462019249200141,0.453371204060782
"S045_G02_D02_B03_T01",100,100,0.08,8,92,0.450474514446221,0.460040774387161,0.454350999621192
"S045_G02_D02_B03_T01",100,100,0.1,10,90,0.450474514446221,0.450754506890974,0.458843664731926
"S045_G02_D02_B03_T01",100,150,0.02,3,147,0.40227363651176,0.401261445256379,0.397687601734684
"S045_G02_D02_B03_T01",100,150,0.04,6,144,0.40227363651176,0.404056997058506,0.396759721323613
"S045_G02_D02_B03_T01",100,150,0.06,9,141,0.40227363651176,0.408001124567478,0.399837008602964
"S045_G02_D02_B03_T01",100,150,0.08,12,138,0.40227363651176,0.404241515957892,0.399249584412358
"S045_G02_D02_B03_T01",100,150,0.1,15,135,0.40227363651176,0.406428284963637,0.396422220004976
"S045_G02_D02_B03_T01",100,200,0.02,4,196,0.406276994236978,0.407623987758115,0.404957412324843
"S045_G02_D02_B03_T01",100,200,0.04,8,192,0.406276994236978,0.40778950845588,0.404355553570413
"S045_G02_D02_B03_T01",100,200,0.06,12,188,0.406276994236978,0.406970337714176,0.404496349228246
"S045_G02_D02_B03_T01",100,200,0.08,16,184,0.406276994236978,0.413696222288886,0.406057642113043
"S045_G02_D02_B03_T01",100,200,0.1,20,180,0.406276994236978,0.414759801342441,0.399459109182185
"S045_G02_D02_B03_T02",100,50,0.02,1,49,0.334168877606513,0.332307618966149,0.332701234535414
"S045_G02_D02_B03_T02",100,50,0.04,2,48,0.334168877606513,0.334298814363077,0.330655517719605
"S045_G02_D02_B03_T02",100,50,0.06,3,47,0.334168877606513,0.340380475597281,0.327299571761205
"S045_G02_D02_B03_T02",100,50,0.08,4,46,0.334168877606513,0.350435717094587,0.333682173704484
"S045_G02_D02_B03_T02",100,50,0.1,5,45,0.334168877606513,0.349294794860552,0.329486453209526
"S045_G02_D02_B03_T02",100,100,0.02,2,98,0.469440857899841,0.467859205261513,0.469655081032682
"S045_G02_D02_B03_T02",100,100,0.04,4,96,0.469440857899841,0.471222824911962,0.466856424812316
"S045_G02_D02_B03_T02",100,100,0.06,6,94,0.469440857899841,0.47433114606367,0.462050857440394
"S045_G02_D02_B03_T02",100,100,0.08,8,92,0.469440857899841,0.473127651737889,0.466827599626046
"S045_G02_D02_B03_T02",100,100,0.1,10,90,0.469440857899841,0.472015943750432,0.46352317080714
"S045_G02_D02_B03_T02",100,150,0.02,3,147,0.631010041471338,0.628109065862603,0.626775856074211
"S045_G02_D02_B03_T02",100,150,0.04,6,144,0.631010041471338,0.627247147310362,0.627376983727079
"S045_G02_D02_B03_T02",100,150,0.06,9,141,0.631010041471338,0.628829311682605,0.625842802648176
"S045_G02_D02_B03_T02",100,150,0.08,12,138,0.631010041471338,0.630258918008413,0.62309031666433
"S045_G02_D02_B03_T02",100,150,0.1,15,135,0.631010041471338,0.628571636796484,0.624649058056143
"S045_G02_D02_B03_T02",100,200,0.02,4,196,0.62424615627015,0.624907164137315,0.625513419527668
"S045_G02_D02_B03_T02",100,200,0.04,8,192,0.62424615627015,0.627339069940043,0.624448286915533
"S045_G02_D02_B03_T02",100,200,0.06,12,188,0.62424615627015,0.62675128567666,0.624032263316331
"S045_G02_D02_B03_T02",100,200,0.08,16,184,0.62424615627015,0.626758424196138,0.624138139172746
"S045_G02_D02_B03_T02",100,200,0.1,20,180,0.62424615627015,0.630311909403803,0.625099899756419
"S045_G02_D02_B03_T03",100,50,0.02,1,49,0.401538549890043,0.411504416949907,0.414290376171372
"S045_G02_D02_B03_T03",100,50,0.04,2,48,0.401538549890043,0.414848714184521,0.4075075231863
"S045_G02_D02_B03_T03",100,50,0.06,3,47,0.401538549890043,0.420829233940735,0.406790307259278
"S045_G02_D02_B03_T03",100,50,0.08,4,46,0.401538549890043,0.415261572087354,0.403876780145813
"S045_G02_D02_B03_T03",100,50,0.1,5,45,0.401538549890043,0.415070948941291,0.403976434092897
"S045_G02_D02_B03_T03",100,100,0.02,2,98,0.298452184432419,0.304334807401812,0.301271688227551
"S045_G02_D02_B03_T03",100,100,0.04,4,96,0.298452184432419,0.310951528726062,0.302913069801277
"S045_G02_D02_B03_T03",100,100,0.06,6,94,0.298452184432419,0.313870977362513,0.299877548620619
"S045_G02_D02_B03_T03",100,100,0.08,8,92,0.298452184432419,0.322439766295347,0.303011508041495
"S045_G02_D02_B03_T03",100,100,0.1,10,90,0.298452184432419,0.330900244330817,0.30027450140879
"S045_G02_D02_B03_T03",100,150,0.02,3,147,0.492264579496346,0.491330751173759,0.489484767193063
"S045_G02_D02_B03_T03",100,150,0.04,6,144,0.492264579496346,0.490984862939673,0.488908102725705
"S045_G02_D02_B03_T03",100,150,0.06,9,141,0.492264579496346,0.497053927545031,0.488083170777748
"S045_G02_D02_B03_T03",100,150,0.08,12,138,0.492264579496346,0.495996164430138,0.485120658862765
"S045_G02_D02_B03_T03",100,150,0.1,15,135,0.492264579496346,0.497980049350529,0.489244259532918
"S045_G02_D02_B03_T03",100,200,0.02,4,196,0.488029118431732,0.48512929451331,0.483184968504279
"S045_G02_D02_B03_T03",100,200,0.04,8,192,0.488029118431732,0.48944248498386,0.482681145673336
"S045_G02_D02_B03_T03",100,200,0.06,12,188,0.488029118431732,0.486764647124291,0.479784861878408
"S045_G02_D02_B03_T03",100,200,0.08,16,184,0.488029118431732,0.48976640131152,0.481475126178039
"S045_G02_D02_B03_T03",100,200,0.1,20,180,0.488029118431732,0.49699404383945,0.478638483864462
"S047_G02_D01_B01_T01",100,50,0.02,1,49,0.935132962025004,0.92269880062609,0.922450809859654
"S047_G02_D01_B01_T01",100,50,0.04,2,48,0.935132962025004,0.921299572919654,0.922273479830914
"S047_G02_D01_B01_T01",100,50,0.06,3,47,0.935132962025004,0.918274314524168,0.92115024827145
"S047_G02_D01_B01_T01",100,50,0.08,4,46,0.935132962025004,0.917334682099591,0.922468350682049
"S047_G02_D01_B01_T01",100,50,0.1,5,45,0.935132962025004,0.915900622071344,0.917346086340561
"S047_G02_D01_B01_T01",100,100,0.02,2,98,0.93411620059656,0.940087596039833,0.941338723823016
"S047_G02_D01_B01_T01",100,100,0.04,4,96,0.93411620059656,0.94015710337817,0.942338795306643
"S047_G02_D01_B01_T01",100,100,0.06,6,94,0.93411620059656,0.937463500503758,0.940090486355815
"S047_G02_D01_B01_T01",100,100,0.08,8,92,0.93411620059656,0.93406102779357,0.941740290005298
"S047_G02_D01_B01_T01",100,100,0.1,10,90,0.93411620059656,0.937148613844458,0.942315923426242
"S047_G02_D01_B01_T01",100,150,0.02,3,147,0.917009025400039,0.914752513586578,0.916081176021311
"S047_G02_D01_B01_T01",100,150,0.04,6,144,0.917009025400039,0.912833883253646,0.916288532590002
"S047_G02_D01_B01_T01",100,150,0.06,9,141,0.917009025400039,0.912188311408525,0.918887545664653
"S047_G02_D01_B01_T01",100,150,0.08,12,138,0.917009025400039,0.909767090836316,0.918213876363209
"S047_G02_D01_B01_T01",100,150,0.1,15,135,0.917009025400039,0.905963613217976,0.922545794376649
"S047_G02_D01_B01_T01",100,200,0.02,4,196,0.960828040015651,0.95878178910312,0.960212106886355
"S047_G02_D01_B01_T01",100,200,0.04,8,192,0.960828040015651,0.956722769208502,0.960245734108761
"S047_G02_D01_B01_T01",100,200,0.06,12,188,0.960828040015651,0.957072884026845,0.96015141969752
"S047_G02_D01_B01_T01",100,200,0.08,16,184,0.960828040015651,0.955858791293721,0.961431851209875
