id,strides,drops,strides.cut,strides.new.length,h.original,h.random,h.contiguous
S001_G01_D01_B01_T01,50,0.02,1,49,0.603548130076889,0.598096060332932,0.601469249805873
S001_G01_D01_B01_T02,50,0.02,1,49,0.729369922040375,0.722649411358544,0.635418185047263
S001_G01_D01_B01_T03,50,0.02,1,49,0.492400336871296,0.482178031528534,0.465312526122027
S001_G01_D01_B02_T01,50,0.02,1,49,0.609408900547222,0.609795775695514,0.615789843732295
S001_G01_D01_B02_T02,50,0.02,1,49,0.884973835763497,0.868005639906047,0.889988008585747
S001_G01_D01_B02_T03,50,0.02,1,49,0.861741627892239,0.879397832297159,0.87300308663212
S001_G01_D01_B03_T01,50,0.02,1,49,0.569925771270809,0.577561270656587,0.594168310451478
S001_G01_D01_B03_T02,50,0.02,1,49,0.663722968820224,0.648909719769759,0.682822997210383
S001_G01_D01_B03_T03,50,0.02,1,49,0.903107078506711,0.882141415372623,0.888363382337022
S001_G01_D02_B01_T01,50,0.02,1,49,0.665508320533213,0.743400899505616,0.656263641593292
S001_G01_D02_B01_T02,50,0.02,1,49,0.609748308176872,0.613943340991571,0.60187605582818
S001_G01_D02_B01_T03,50,0.02,1,49,0.532963717939298,0.53567783481132,0.538404064405154
S001_G01_D02_B02_T01,50,0.02,1,49,0.743532155048598,0.745529213567757,0.745430768889776
S001_G01_D02_B02_T02,50,0.02,1,49,0.63199206422548,0.634072318238274,0.610092030824248
S001_G01_D02_B02_T03,50,0.02,1,49,0.69334300252734,0.721949424396222,0.698537142493331
S001_G01_D02_B03_T01,50,0.02,1,49,0.620987260044541,0.597422206995471,0.674688362041198
S001_G01_D02_B03_T02,50,0.02,1,49,0.741905567639419,0.773079106250852,0.76948152330842
S001_G01_D02_B03_T03,50,0.02,1,49,0.626119728949964,0.616317875495477,0.615842975379753
S002_G01_D01_B01_T01,50,0.02,1,49,0.811660571096149,0.800164061234485,0.802433190334992
S002_G01_D01_B01_T02,50,0.02,1,49,0.675783738004774,0.632403271705288,0.688073223112219
S002_G01_D01_B01_T03,50,0.02,1,49,0.854369554180996,0.828009801478134,0.839059954473805
S002_G01_D01_B02_T01,50,0.02,1,49,0.876114847375187,0.884095336262225,0.859025669760095
S002_G01_D01_B02_T02,50,0.02,1,49,0.695468081139464,0.698873980166273,0.695536453606129
S002_G01_D01_B02_T03,50,0.02,1,49,0.678853905415958,0.6555337645938,0.709745467262106
S002_G01_D01_B03_T01,50,0.02,1,49,0.58346913964997,0.558357508031984,0.567402319161596
S002_G01_D01_B03_T02,50,0.02,1,49,0.800870185420728,0.829401824802535,0.794898301733563
S002_G01_D01_B03_T03,50,0.02,1,49,0.794435044032927,0.812852960369413,0.796294971428155
S002_G01_D02_B01_T01,50,0.02,1,49,0.734822868265047,0.728772924350363,0.743724854399194
S002_G01_D02_B01_T02,50,0.02,1,49,0.719005714191129,0.729446654069653,0.700360802826808
S002_G01_D02_B01_T03,50,0.02,1,49,0.860593266671145,0.883426805941786,0.849987917878654
S002_G01_D02_B02_T01,50,0.02,1,49,0.840539249903093,0.820257435983287,0.814631018145598
S002_G01_D02_B02_T02,50,0.02,1,49,0.60150450607995,0.599997833408413,0.58148128929034
S002_G01_D02_B02_T03,50,0.02,1,49,0.833432075060375,0.841706361584092,0.826906955909829
S002_G01_D02_B03_T01,50,0.02,1,49,0.936536109647282,0.930347966194477,0.93833026381054
