"id","rep","stride.intervals","drops","stride.intervals.cut","stride.intervals.new.length","h.original","h.random","h.contiguous"
"H1002_SP_0p25_flat_1",50,50,0.02,1,49,0.770806693813298,0.7769832037309,0.780118002664382
"H1002_SP_0p25_flat_1",50,50,0.04,2,48,0.770806693813298,0.778148192907735,0.776484406745397
"H1002_SP_0p25_flat_1",50,50,0.06,3,47,0.770806693813298,0.779227622142546,0.781215646585845
"H1002_SP_0p25_flat_1",50,50,0.08,4,46,0.770806693813298,0.777402420345624,0.770631562480112
"H1002_SP_0p25_flat_1",50,50,0.1,5,45,0.770806693813298,0.775520240133866,0.777901977034495
"H1002_SP_0p25_flat_2",50,50,0.02,1,49,0.531472800397547,0.534949773620996,0.536079430187242
"H1002_SP_0p25_flat_2",50,50,0.04,2,48,0.531472800397547,0.534641487969849,0.535488657906535
"H1002_SP_0p25_flat_2",50,50,0.06,3,47,0.531472800397547,0.529173951608781,0.540988547657044
"H1002_SP_0p25_flat_2",50,50,0.08,4,46,0.531472800397547,0.534777141477759,0.541183384660734
"H1002_SP_0p25_flat_2",50,50,0.1,5,45,0.531472800397547,0.541761498608072,0.541119068364236
"H1002_SP_0p5_flat_1",50,50,0.02,1,49,0.62840719025,0.621740842559869,0.6211084114506
"H1002_SP_0p5_flat_1",50,50,0.04,2,48,0.62840719025,0.618530596826486,0.615688907392132
"H1002_SP_0p5_flat_1",50,50,0.06,3,47,0.62840719025,0.63364028277074,0.620782861462343
"H1002_SP_0p5_flat_1",50,50,0.08,4,46,0.62840719025,0.624305405051196,0.616062370282244
"H1002_SP_0p5_flat_1",50,50,0.1,5,45,0.62840719025,0.624763604407394,0.615628638073378
"H1002_SP_0p5_flat_2",50,50,0.02,1,49,0.578182811941253,0.565876605563695,0.564868160638302
"H1002_SP_0p5_flat_2",50,50,0.04,2,48,0.578182811941253,0.566570692718048,0.564120423753252
"H1002_SP_0p5_flat_2",50,50,0.06,3,47,0.578182811941253,0.570469839918795,0.570790096337651
"H1002_SP_0p5_flat_2",50,50,0.08,4,46,0.578182811941253,0.563158019860154,0.555479212189186
"H1002_SP_0p5_flat_2",50,50,0.1,5,45,0.578182811941253,0.568599253969118,0.556716710751881
"H1002_SP_0p75_flat_1",50,50,0.02,1,49,0.49336795694707,0.488765543993921,0.481394991002171
"H1002_SP_0p75_flat_1",50,50,0.04,2,48,0.49336795694707,0.490581309479116,0.488640720601906
"H1002_SP_0p75_flat_1",50,50,0.06,3,47,0.49336795694707,0.484844874816225,0.486399259201963
"H1002_SP_0p75_flat_1",50,50,0.08,4,46,0.49336795694707,0.481153665703097,0.484558330594487
"H1002_SP_0p75_flat_1",50,50,0.1,5,45,0.49336795694707,0.48802472980543,0.487807375447564
"H1002_SP_0p75_flat_1",50,100,0.02,2,98,0.49006065875059,0.490417796729654,0.49700661281338
"H1002_SP_0p75_flat_1",50,100,0.04,4,96,0.49006065875059,0.490284207582455,0.494012241314752
"H1002_SP_0p75_flat_1",50,100,0.06,6,94,0.49006065875059,0.493497858738513,0.487054946460575
"H1002_SP_0p75_flat_1",50,100,0.08,8,92,0.49006065875059,0.493723340458982,0.482633316168436
"H1002_SP_0p75_flat_1",50,100,0.1,10,90,0.49006065875059,0.497874766816022,0.496870951228463
"H1002_SP_0p75_flat_2",50,50,0.02,1,49,0.475689249636605,0.474548427726151,0.487591622844259
"H1002_SP_0p75_flat_2",50,50,0.04,2,48,0.475689249636605,0.498944334701728,0.478663982989993
"H1002_SP_0p75_flat_2",50,50,0.06,3,47,0.475689249636605,0.490679974810793,0.471242027123068
"H1002_SP_0p75_flat_2",50,50,0.08,4,46,0.475689249636605,0.476141840731506,0.484879202806107
"H1002_SP_0p75_flat_2",50,50,0.1,5,45,0.475689249636605,0.469128006160609,0.48494691517259
"H1002_SP_0p75_flat_2",50,100,0.02,2,98,0.469466897184495,0.482182289263974,0.482869509933181
"H1002_SP_0p75_flat_2",50,100,0.04,4,96,0.469466897184495,0.48047772253138,0.480771893457482
"H1002_SP_0p75_flat_2",50,100,0.06,6,94,0.469466897184495,0.487132696150811,0.480817788836435
"H1002_SP_0p75_flat_2",50,100,0.08,8,92,0.469466897184495,0.486779828073485,0.482984715694427
"H1002_SP_0p75_flat_2",50,100,0.1,10,90,0.469466897184495,0.488964875982013,0.476616271897075
"H1002_SP_1p0_flat_1",50,50,0.02,1,49,0.503562276590383,0.518543788137501,0.520992453718856
"H1002_SP_1p0_flat_1",50,50,0.04,2,48,0.503562276590383,0.506435229889629,0.514298285566564
"H1002_SP_1p0_flat_1",50,50,0.06,3,47,0.503562276590383,0.525047801698423,0.522111922895396
"H1002_SP_1p0_flat_1",50,50,0.08,4,46,0.503562276590383,0.504574132898613,0.526125943336128
"H1002_SP_1p0_flat_1",50,50,0.1,5,45,0.503562276590383,0.51516822437393,0.521374201944903
"H1002_SP_1p0_flat_1",50,100,0.02,2,98,0.458349159914535,0.458534063975145,0.46649405432472
"H1002_SP_1p0_flat_1",50,100,0.04,4,96,0.458349159914535,0.462003682277608,0.464752284415546
"H1002_SP_1p0_flat_1",50,100,0.06,6,94,0.458349159914535,0.45676082703508,0.45757016626799
"H1002_SP_1p0_flat_1",50,100,0.08,8,92,0.458349159914535,0.467633620760203,0.45914493100293
"H1002_SP_1p0_flat_1",50,100,0.1,10,90,0.458349159914535,0.479017171466099,0.456901473859656
"H1002_SP_1p0_flat_2",50,50,0.02,1,49,0.362072500754613,0.385777420608187,0.386984479599851
