id,treadmill,speed,terrain,trial,hurst,entropy,n.intervals.original,n.intervals.dropped,pct.timeseries.dropped,intervals.mean,intervals.sd
H1002,SP,0p25,flat,1,0.765731410414662,0.832909122935104,50,1,2,2.44574192610419,0.107556602530721
H1002,SP,0p25,flat,2,0.707267619104374,2.30258509299405,50,2,4,2.33301151287228,0.0999305522307053
H1002,SP,0p5,flat,1,0.645636070343327,1.68175857401373,50,1,2,1.82036720139244,0.0364063120529393
H1002,SP,0p5,flat,2,0.56781437849143,1.6376087894008,50,0,0,1.83120888303995,0.0555211991219444
H1002,SP,0p75,flat,1,0.482248076558344,1.49392502531226,50,0,0,1.46631888023304,0.0343192255109473
H1002,SP,0p75,flat,2,0.473153428716728,1.87180217690159,50,0,0,1.45334566091515,0.0261898395169476
H1002,SP,1p0,flat,1,0.524928732957625,1.21639532432449,50,0,0,1.2749546985011,0.0196062605964867
H1002,SP,1p0,flat,2,0.430815352658569,1.23214368129263,50,1,2,1.24062982496342,0.0165288605765292
H1004,SP,0p25,flat,1,0.626449486926617,2.33537491581704,50,2,4,2.31697862506995,0.128315298151664
H1004,SP,0p25,flat,2,0.862128816733257,1.70474809223843,50,0,0,2.44859259553805,0.165287579597692
H1004,SP,0p5,flat,1,0.629364321135324,1.38629436111989,50,0,0,1.61235207817454,0.0806050385916236
H1004,SP,0p5,flat,2,0.738326568318835,1.6094379124341,50,2,4,1.6590599311806,0.0745278235347657
H1004,SP,0p75,flat,1,0.589259789804239,1.71479842809193,50,0,0,1.3994011349776,0.0346898552135961
H1004,SP,0p75,flat,2,0.803010615922521,1.51412773262978,50,0,0,1.39669834381621,0.0379976904811878
H1004,SP,1p0,flat,1,0.573689544437164,2.94443897916644,50,0,0,1.23435019529272,0.0193004406896579
H1004,SP,1p0,flat,2,0.64886194552934,2.42036812865043,50,0,0,1.21474705028623,0.0214750081870351
H1007,SP,0p25,flat,1,0.674840570399389,1.49165487677772,50,0,0,2.69543068933111,0.154326265575951
H1007,SP,0p25,flat,2,0.853999695585109,1.85629799036563,50,1,2,2.60388441098584,0.180413923223202
H1007,SP,0p5,flat,1,0.882185488503599,1.48160454092422,50,0,0,1.92880911417805,0.103028334722297
H1007,SP,0p5,flat,2,0.768898287202137,1.45861502269952,50,0,0,1.88994440611109,0.0868155257727682
H1007,SP,0p75,flat,1,0.756738007713797,1.28519824424852,50,1,2,1.50125220335724,0.0583957327982259
H1007,SP,0p75,flat,2,0.69147536154415,1.57818536893,50,0,0,1.51156926781025,0.0577168216509757
H1007,SP,1p0,flat,1,0.688880972123594,1.68175857401373,50,1,2,1.2339893295408,0.0258009943423592
H1007,SP,1p0,flat,2,0.732101866418591,1.16760516015506,50,0,0,1.25065774780773,0.0286403525390791
H1009,SP,0p25,flat,1,0.551587247542652,1.25276296849537,50,0,0,2.56530118656132,0.127295033159233
H1009,SP,0p25,flat,2,0.617980157419089,1.89711998488588,50,0,0,2.51986602919526,0.132050748876661
H1009,SP,0p5,flat,1,0.653620262663458,1.79175946922805,50,0,0,1.71665321039636,0.0476729270562219
H1009,SP,0p5,flat,2,0.489709999302132,0.862223510603879,50,1,2,1.67769963137619,0.089057507119389
H1009,SP,0p75,flat,1,0.627454713642089,1.50407739677627,50,1,2,1.38645731015593,0.021360767093261
H1009,SP,0p75,flat,2,0.565076746283171,1.50407739677627,50,0,0,1.35178632261835,0.0193628297893727
H1009,SP,1p0,flat,1,0.660269922938449,1.40534255609059,50,1,2,1.19979296195788,0.0153335516775908
H1009,SP,1p0,flat,2,0.553108943075043,1.54044504094715,50,0,0,1.20310489744879,0.017252821790445
H1010,SP,0p25,flat,1,0.675963536451537,1.94591014905531,50,1,2,3.11080548460403,0.15476580690722
H1010,SP,0p25,flat,2,0.654048423027665,1.51634748936809,50,2,4,3.13675535310403,0.142963127438457
H1010,SP,0p5,flat,1,0.910260654777531,1.33828514193353,50,0,0,1.91255225184221,0.0936083322275084
H1010,SP,0p5,flat,2,0.754505017874301,1.6376087894008,50,0,0,1.87470288510382,0.0695003032955864
H1010,SP,0p75,flat,1,0.660697783551829,2.4423470353692,50,0,0,1.39430098895807,0.0286061251060179
H1010,SP,0p75,flat,2,0.351779184312354,1.12601126285622,50,0,0,1.34574529650074,0.02997575586248
H1010,SP,1p0,flat,1,0.678125637311605,1.63141681915288,50,0,0,1.16842295225129,0.0173487488488235
H1010,SP,1p0,flat,2,0.645734773875899,1.69167601067107,50,0,0,1.17477624404225,0.0187835169597347
H1011,SP,0p25,flat,1,0.63480906998814,2.01490302054226,50,2,4,3.09254099448429,0.166127940499154
H1011,SP,0p25,flat,2,0.95627504042841,1.29276830310907,50,2,4,2.79018886340829,0.305562569163147
H1011,SP,0p5,flat,1,0.586008387465969,1.47330573810952,50,0,0,1.81194269252926,0.065681028620455
H1011,SP,0p5,flat,2,0.776853029584375,2.26176309847379,50,0,0,1.90871973747808,0.0610737081202112
H1011,SP,0p75,flat,1,0.752783968987673,1.70474809223843,50,0,0,1.51500117158357,0.0684784026121049
H1011,SP,0p75,flat,2,0.565012135805573,1.26566637333128,50,1,2,1.48483521710713,0.0550787389352922
H1011,SP,1p0,flat,1,0.504619580832887,1.81915844341617,50,0,0,1.27681509332471,0.0238731532016337
H1011,SP,1p0,flat,2,0.826106163906032,1.1221427860783,50,0,0,1.28974022909563,0.0371005921599039
H1012,SP,0p25,flat,1,0.642598051556943,1.10465460312407,50,0,0,2.19557390971057,0.751604448532383
H1012,SP,0p25,flat,2,0.747824526019231,1.02715332468596,50,0,0,2.16417778633334,0.701860058442027
H1012,SP,0p5,flat,1,0.808007137371234,1.38629436111989,50,0,0,1.7410129103294,0.158808147610303
H1012,SP,0p5,flat,2,0.437342482695675,2.63905732961526,50,0,0,1.80008740960103,0.120094352111636
H1012,SP,0p75,flat,1,0.654342110988071,1.52605630349505,50,0,0,1.39198303606484,0.066079552896253
H1012,SP,0p75,flat,2,0.58167633366834,1.50407739677627,50,0,0,1.47321509095632,0.0722945655782127
H1012,SP,1p0,flat,1,0.792672263324887,2.33537491581704,50,0,0,1.19565342088543,0.0346597656616081
H1012,SP,1p0,flat,2,0.591254519096813,1.81237875643079,50,0,0,1.25329352570448,0.0369265687022802
H1013,SP,0p25,flat,1,0.933991760025725,1.77070606003022,50,0,0,2.30046652923498,0.332571046464233
H1013,SP,0p25,flat,2,0.852888999798232,1.2272296664902,50,1,2,3.10643468147011,0.298352168729339
H1013,SP,0p5,flat,1,0.911074230573209,1.16315080980568,50,1,2,1.93301730140234,0.165652859954077
H1013,SP,0p5,flat,2,0.970077049157654,1.32566973930346,50,2,4,1.92969939163952,0.146801375614463
H1013,SP,0p75,flat,1,0.840205909787869,1.21924027645672,50,0,0,1.45777657397982,0.0604478107870193
H1013,SP,0p75,flat,2,0.561987024429242,1.45861502269952,50,0,0,1.48086154260445,0.055217163574519
H1013,SP,1p0,flat,1,0.73882853244881,1.56397553835734,50,0,0,1.23134429990288,0.0218511715870817
H1013,SP,1p0,flat,2,0.780442611735726,1.44691898293633,50,1,2,1.23847820418358,0.0197317202693974
H1017,SP,0p25,flat,1,0.919109267139909,1.24171313230878,50,1,2,2.89823802620435,0.226406445646801
H1017,SP,0p25,flat,2,0.817036759266664,1.63141681915288,50,1,2,2.82969956045647,0.176194153605645
H1017,SP,0p5,flat,1,0.866092526025225,1.25276296849537,50,0,0,1.81049933809258,0.068203664869722
H1017,SP,0p5,flat,2,0.857396547248956,1.74296930505862,50,0,0,1.81306114657216,0.0790743559075888
H1017,SP,0p75,flat,1,0.655721595898011,1.38629436111989,50,0,0,1.49126264419576,0.0289961877050094
H1017,SP,0p75,flat,2,0.59132286739752,2.484906649788,50,0,0,1.46220368062625,0.0259090002162133
H1017,SP,1p0,flat,1,0.558949601426674,1.71765149707433,50,0,0,1.24650831058947,0.0181478191758126
H1017,SP,1p0,flat,2,0.619556768697274,1.89711998488588,50,0,0,1.24934988907291,0.0217724835840154
H1018,SP,0p25,flat,1,0.793737470413314,1.40691364832263,50,0,0,2.76352211234532,0.101701919334752
H1018,SP,0p25,flat,2,0.833163860808279,1.28093384546206,50,0,0,2.83972535177194,0.112821211671998
H1018,SP,0p5,flat,1,0.803057072188758,1.76358859226136,50,1,2,2.00537720808634,0.0462520319655712
H1018,SP,0p5,flat,2,0.673769492377312,1.63413052502447,50,0,0,1.89217668001987,0.0499198316962773
H1018,SP,0p75,flat,1,0.558300042312872,1.6094379124341,50,0,0,1.45696443797458,0.0274081161937128
H1018,SP,0p75,flat,2,0.526992981670418,1.92529086185258,50,0,0,1.42937435932998,0.0327395766620473
H1018,SP,1p0,flat,1,0.494947908465702,2.27726728500976,50,1,2,1.22695942214394,0.0155379723929961
H1018,SP,1p0,flat,2,0.495262912195421,1.25276296849537,50,0,0,1.23077112984814,0.0162320736741227
H1019,SP,0p25,flat,1,0.90844332220726,2.19722457733622,50,0,0,2.70218609889247,0.16002410042104
H1019,SP,0p25,flat,2,0.86603309682201,1.70474809223843,50,0,0,2.67581795043066,0.153066191608607
H1019,SP,0p5,flat,1,0.535443776352744,1.14862270924277,50,0,0,1.5074874926837,0.0311411228552406
H1019,SP,0p5,flat,2,0.801488929219999,1.24171313230878,50,0,0,1.58118162676373,0.0502287355451164
H1019,SP,0p75,flat,1,0.723276307915595,1.69459572077441,50,0,0,1.32861704860898,0.0224224026065046
H1019,SP,0p75,flat,2,0.6078734806095,2.17475172148416,50,0,0,1.33894569959052,0.0277097889841899
H1019,SP,1p0,flat,1,0.627215463220343,2.22462355152433,50,1,2,1.1595544185248,0.0174416258607496
H1019,SP,1p0,flat,2,0.632157727910353,1.38629436111989,50,0,0,1.16973265758433,0.014609493818843
H1020,SP,0p25,flat,1,0.916070532669379,1.25276296849537,50,1,2,3.11591482385904,0.275532537894865
H1020,SP,0p25,flat,2,0.506976112627402,1.17865499634165,50,2,4,3.07898240376161,0.17974194324104
H1020,SP,0p5,flat,1,0.683374185538268,1.81237875643079,50,0,0,1.94538087295407,0.072977477409352
H1020,SP,0p5,flat,2,0.556074031787993,1.53393035992596,50,0,0,2.06078668251013,0.0879075737788011
H1020,SP,0p75,flat,1,0.759317203252872,1.62745641793678,50,0,0,1.57603323808895,0.0663239846213462
H1020,SP,0p75,flat,2,0.538074819490383,1.86075234071501,50,0,0,1.53763162696581,0.0344983596383047
H1020,SP,1p0,flat,1,0.505223936592437,1.89711998488588,50,0,0,1.3045348321104,0.020884946281706
H1020,SP,1p0,flat,2,0.58148488908865,1.339774345485,50,1,2,1.27902137269692,0.022718853842144
H1022,SP,0p25,flat,1,0.481089833319271,0.629593396084914,50,0,0,0.770651573036835,1.23758705684834
H1022,SP,0p25,flat,2,0.707425000836537,1.46633706879343,50,2,4,3.48055934768131,0.503312220000308
H1022,SP,0p5,flat,1,0.358753518882909,1.38629436111989,50,1,2,2.08056846722251,0.10181432907321
H1022,SP,0p5,flat,2,0.561605612181691,1.29928298413026,50,1,2,2.02105092596565,0.0863750781446417
H1022,SP,0p75,flat,1,0.651640557625928,1.51982575374441,50,1,2,1.52500470863712,0.031808352581165
H1022,SP,0p75,flat,2,0.951284840701413,0.406986020948871,50,0,0,1.02832917769246,0.660003024347075
H1022,SP,1p0,flat,1,0.571888723257825,1.20397280432594,50,2,4,1.29965793083589,0.0192164285514463
H1022,SP,1p0,flat,2,0.485031928950019,1.50407739677627,50,0,0,1.29903191126499,0.0199508407973227
H1024,SP,0p25,flat,1,0.79427664268322,1.81915844341617,50,1,2,2.47374439421532,0.20536968988093
H1024,SP,0p25,flat,2,0.463334722759514,1.64865862558738,50,1,2,2.37148254959342,0.176117330656814
H1024,SP,0p5,flat,1,0.542770744767758,1.34373474670109,50,0,0,1.80135373647012,0.0827789082843993
H1024,SP,0p5,flat,2,0.669578043560104,2.17853244432407,50,0,0,1.79107122663805,0.122758589147297
H1024,SP,0p75,flat,1,0.582662091451382,1.71479842809193,50,0,0,1.37898708044995,0.0414813454320307
H1024,SP,0p75,flat,2,0.623869942840068,1.03942341727778,50,0,0,1.44202388358684,0.0552701372004389
H1024,SP,1p0,flat,1,0.669650845832797,1.82454929205105,50,0,0,1.25055925879205,0.0283700578079768
H1024,SP,1p0,flat,2,0.534961326698737,1.29098418131557,50,0,0,1.26470011775166,0.0312749546101872
H1025,SP,0p25,flat,1,0.799033378341266,0.893817876022097,50,0,0,2.52870454947542,0.185573564427917
H1025,SP,0p25,flat,2,0.465541858276857,1.66500776358891,50,0,0,2.56833076807156,0.119196977837111
H1025,SP,0p5,flat,1,0.352078635389058,1.88706964903238,50,0,0,1.68584598298144,0.0823584433722285
H1025,SP,0p5,flat,2,0.635165041523208,2.36712361413162,50,2,4,1.63968701728356,0.0701390602624068
H1025,SP,0p75,flat,1,0.548020268927347,1.64222773525709,50,0,0,1.41735254623845,0.048964291466073
H1025,SP,0p75,flat,2,0.411239393381625,1.79175946922805,50,0,0,1.41812296771176,0.0463554645315756
H1025,SP,1p0,flat,1,0.639875575122308,1.69459572077441,50,0,0,1.230218204933,0.0277058419625168
H1025,SP,1p0,flat,2,0.710957691210283,1.6094379124341,50,0,0,1.19641279138543,0.0310274797799883
H1026,SP,0p25,flat,1,0.654023425667569,0.838329190404443,50,2,4,2.46662951505176,0.221580224743501
H1026,SP,0p25,flat,2,0.78439383512772,2.46385324059017,50,1,2,2.45750728263839,0.156936200415957
H1026,SP,0p5,flat,1,0.880711863244615,1.68175857401373,50,0,0,1.64702303456705,0.0681772959205977
H1026,SP,0p5,flat,2,0.781372408130553,1.26566637333128,50,0,0,1.62390483304333,0.0655168220800879
H1026,SP,0p75,flat,1,0.762535846775897,1.02165124753198,50,0,0,1.37248079990182,0.033676468263037
H1026,SP,0p75,flat,2,0.568714271371918,1.45861502269952,50,0,0,1.34508267584838,0.0264066355962302
H1026,SP,1p0,flat,1,0.537695143009252,1.27629346590556,50,0,0,1.20169505051406,0.0155246674254197
H1026,SP,1p0,flat,2,0.626488851413586,1.14862270924277,50,0,0,1.20288689366955,0.0169300075855803
H1027,SP,0p25,flat,1,0.711944341274858,1.43508452528932,50,0,0,2.72464786229614,0.20710312775181
H1027,SP,0p25,flat,2,0.682633873956868,1.23214368129263,50,0,0,3.01478736990526,0.176936156887691
H1027,SP,0p5,flat,1,0.577545927596787,1.6376087894008,50,0,0,1.64318764613911,0.0519624230745608
H1027,SP,0p5,flat,2,0.812342409888601,1.32687094064909,50,1,2,1.57286412438134,0.0704793329859978
H1027,SP,0p75,flat,1,0.779896888632231,1.55814461804655,50,0,0,1.30555805463888,0.0284733059031917
H1027,SP,0p75,flat,2,0.634214362022667,1.84582669049833,50,1,2,1.31812432858527,0.0256873332774543
H1027,SP,1p0,flat,1,0.636413600383712,1.85629799036563,50,0,0,1.18033509712663,0.0134094071417096
H1027,SP,1p0,flat,2,0.551012371928443,1.51258808644418,50,1,2,1.19352499373383,0.0168535069943668
H1029,SP,0p25,flat,1,0.689543627792544,1.19625075823203,50,0,0,2.28822777777776,0.166543779684607
H1029,SP,0p25,flat,2,0.699534128152332,0.76635058458324,50,1,2,2.20960217222032,0.364142516491397
H1029,SP,0p5,flat,1,0.641460926576947,1.94591014905531,50,1,2,1.58015601206295,0.049586670180015
H1029,SP,0p5,flat,2,0.484655323869228,1.32175583998232,50,1,2,1.54663586157754,0.0537651142221311
H1029,SP,0p75,flat,1,0.42795951638367,1.70474809223843,50,0,0,1.26104216383547,0.0318869695638679
H1029,SP,0p75,flat,2,0.527427768619198,1.81528996663825,50,0,0,1.26641756077383,0.0339857990133303
H1029,SP,1p0,flat,1,0.446059025308172,1.38629436111989,50,1,2,1.1554315201723,0.0184715223476299
H1029,SP,1p0,flat,2,0.566462342856882,1.91692261218206,50,0,0,1.15818562141493,0.0207808237484221
H1030,SP,0p25,flat,1,0.647025883876743,1.27046254559477,50,3,6,2.63140485256918,0.170301248216661
H1030,SP,0p25,flat,2,0.501824423884809,0.57373944917656,50,0,0,2.42886994564496,0.903818761349795
H1030,SP,0p5,flat,1,0.49506453849195,1.52605630349505,50,0,0,1.72945888355691,0.0795710526350624
H1030,SP,0p5,flat,2,0.595084664532062,1.88706964903238,50,0,0,1.83176914114617,0.0850027885005861
H1030,SP,0p75,flat,1,0.485775110703684,1.88273124743378,50,0,0,1.41224948965121,0.0396977909367537
