id,treadmill,speed,terrain,trial,strides,drops,strides.cut,strides.new.length,h.original,h.random,h.contiguous
H1002,SP,0p25,flat,1,50,0.02,1,49,0.773761242470482,0.787318670790008,0.781795778523009
H1002,SP,0p25,flat,2,50,0.02,1,49,0.496192150914289,0.507656614856475,0.477435431097108
H1002,SP,0p5,flat,1,50,0.02,1,49,0.606831503977842,0.562607167065709,0.619591699660375
H1002,SP,0p5,flat,2,50,0.02,1,49,0.556761200568416,0.564137472185434,0.623771307622801
H1002,SP,0p75,flat,1,50,0.02,1,49,0.492736946361826,0.475161745784024,0.490392397629463
H1002,SP,0p75,flat,2,50,0.02,1,49,0.473504582860977,0.46782930470894,0.477457744176926
H1002,SP,1p0,flat,1,50,0.02,1,49,0.521738468634652,0.510137116622307,0.518506762017036
H1002,SP,1p0,flat,2,50,0.02,1,49,0.37859407913647,0.419176733950318,0.389516789233793
H1004,SP,0p25,flat,1,50,0.02,1,49,0.74225577234035,0.742954250324475,0.743162222560646
H1004,SP,0p25,flat,2,50,0.02,1,49,0.871240523417704,0.865565579406512,0.864944366032206
H1004,SP,0p5,flat,1,50,0.02,1,49,0.620574744349881,0.645902833708471,0.656699635445792
H1004,SP,0p5,flat,2,50,0.02,1,49,0.838669848522795,0.824709488634681,0.812636106214147
H1004,SP,0p75,flat,1,50,0.02,1,49,0.56256725791522,0.591148883187351,0.586169915518882
H1004,SP,0p75,flat,2,50,0.02,1,49,0.804087234455242,0.822205387416487,0.803572510699343
H1004,SP,1p0,flat,1,50,0.02,1,49,0.559187676546339,0.554614210403165,0.60501738362109
H1004,SP,1p0,flat,2,50,0.02,1,49,0.670774486208125,0.647057617962414,0.644219539948944
H1007,SP,0p25,flat,1,50,0.02,1,49,0.653069704974135,0.678669651603019,0.661238400667197
H1007,SP,0p25,flat,2,50,0.02,1,49,0.715409494301686,0.690197397359831,0.713932061510097
H1007,SP,0p5,flat,1,50,0.02,1,49,0.905845296739457,0.897133161161219,0.879027351892579
H1007,SP,0p5,flat,2,50,0.02,1,49,0.772177799661809,0.739516048847247,0.731405611237889
H1007,SP,0p75,flat,1,50,0.02,1,49,0.60051284762054,0.589845503385966,0.604600321937911
H1007,SP,0p75,flat,2,50,0.02,1,49,0.694277203632777,0.693478222681655,0.68183657393403
H1007,SP,1p0,flat,1,50,0.02,1,49,0.744318770929537,0.723186650816525,0.681907190581697
H1007,SP,1p0,flat,2,50,0.02,1,49,0.73870405778075,0.747769117659674,0.72899630006123
H1009,SP,0p25,flat,1,50,0.02,1,49,0.516872888571464,0.530993233609007,0.547819276005793
H1009,SP,0p25,flat,2,50,0.02,1,49,0.607305979330378,0.630367379885509,0.591394316841284
H1009,SP,0p5,flat,1,50,0.02,1,49,0.655139047127347,0.656991678726852,0.643877722694425
H1009,SP,0p5,flat,2,50,0.02,1,49,0.770189619808634,0.756181799372827,0.76177681633623
H1009,SP,0p75,flat,1,50,0.02,1,49,0.602423731262259,0.587653538048876,0.592487779046863
H1009,SP,0p75,flat,2,50,0.02,1,49,0.536215957256235,0.538411771951627,0.497909603255717
H1009,SP,1p0,flat,1,50,0.02,1,49,0.69662869636028,0.691412544459489,0.708172815018494
H1009,SP,1p0,flat,2,50,0.02,1,49,0.547626880123864,0.550715704119499,0.537952716339335
H1010,SP,0p25,flat,1,50,0.02,1,49,0.517297609004469,0.520737486762682,0.504593571755657
H1010,SP,0p25,flat,2,50,0.02,1,49,0.544767194955393,0.542489687703075,0.541609396203057
H1010,SP,0p5,flat,1,50,0.02,1,49,0.905571298458214,0.912804731602599,0.920641202532352
H1010,SP,0p5,flat,2,50,0.02,1,49,0.760505409491719,0.774415877364963,0.760223031664475
H1010,SP,0p75,flat,1,50,0.02,1,49,0.661264519420699,0.685461097737272,0.642789813547199
H1010,SP,0p75,flat,2,50,0.02,1,49,0.353468131976638,0.495885140075241,0.355233916234443
H1010,SP,1p0,flat,1,50,0.02,1,49,0.669809115663924,0.680338852426353,0.674192996611998
H1010,SP,1p0,flat,2,50,0.02,1,49,0.619314800069961,0.618567261472873,0.625179371101949
H1011,SP,0p25,flat,1,50,0.02,1,49,0.519449876178475,0.500081757154392,0.53889908361053
H1011,SP,0p25,flat,2,50,0.02,1,49,0.659180111651477,0.657894535190328,0.652640754568987
H1011,SP,0p5,flat,1,50,0.02,1,49,0.601783091710678,0.620874445451307,0.583832486449585
H1011,SP,0p5,flat,2,50,0.02,1,49,0.76126651959798,0.764710440506889,0.778932294651803
H1011,SP,0p75,flat,1,50,0.02,1,49,0.743997774042187,0.751774202789901,0.732961842712911
H1011,SP,0p75,flat,2,50,0.02,1,49,0.679849710196117,0.72403388282101,0.683724063998763
H1011,SP,1p0,flat,1,50,0.02,1,49,0.509997180853036,0.475262680020428,0.503151326922841
H1011,SP,1p0,flat,2,50,0.02,1,49,0.834066178649726,0.830970644418123,0.788543863957323
H1012,SP,0p25,flat,1,50,0.02,1,49,0.622977052510695,0.64322072371861,0.627718144428654
H1012,SP,0p25,flat,2,50,0.02,1,49,0.751068744096969,0.771793585092568,0.755882724727395
H1012,SP,0p5,flat,1,50,0.02,1,49,0.819054289605519,0.821575833998225,0.827724178906273
H1012,SP,0p5,flat,2,50,0.02,1,49,0.44518066662008,0.43633395360907,0.452053302938168
H1012,SP,0p75,flat,1,50,0.02,1,49,0.645334438288896,0.677629309891378,0.684270457707597
H1012,SP,0p75,flat,2,50,0.02,1,49,0.569629573303861,0.57129885127237,0.565804610072453
H1012,SP,1p0,flat,1,50,0.02,1,49,0.77594683078299,0.817435287983562,0.769094470168552
H1012,SP,1p0,flat,2,50,0.02,1,49,0.572496722035573,0.573698615501354,0.593202019277217
H1013,SP,0p25,flat,1,50,0.02,1,49,0.93822220061647,0.925551824223764,0.927467595430526
H1013,SP,0p25,flat,2,50,0.02,1,49,0.463666472104067,0.441370315892967,0.453516294710819
H1013,SP,0p5,flat,1,50,0.02,1,49,0.789832201379195,0.800321543813051,0.771883029345314
H1013,SP,0p5,flat,2,50,0.02,1,49,0.383449878492812,0.531453240058807,0.374060953413193
H1013,SP,0p75,flat,1,50,0.02,1,49,0.843142446885949,0.847341831432042,0.864217359204979
H1013,SP,0p75,flat,2,50,0.02,1,49,0.547624141005449,0.533196832996045,0.543585810952434
H1013,SP,1p0,flat,1,50,0.02,1,49,0.7314689641562,0.736906023122283,0.746454480239613
H1013,SP,1p0,flat,2,50,0.02,1,49,0.7727818784423,0.805566718564897,0.776838036466239
H1017,SP,0p25,flat,1,50,0.02,1,49,0.90790580716441,0.89272987123088,0.906067090044792
H1017,SP,0p25,flat,2,50,0.02,1,49,0.53046088403972,0.525261029754077,0.534343552790902
H1017,SP,0p5,flat,1,50,0.02,1,49,0.868050389683852,0.861906387212599,0.860766138782507
H1017,SP,0p5,flat,2,50,0.02,1,49,0.862604342375513,0.862220520038363,0.856250973942923
H1017,SP,0p75,flat,1,50,0.02,1,49,0.654866931002463,0.65083445236444,0.645507486532915
H1017,SP,0p75,flat,2,50,0.02,1,49,0.577555211507301,0.58150583725656,0.590137272941076
H1017,SP,1p0,flat,1,50,0.02,1,49,0.562647131054334,0.547487270130298,0.552605146050085
H1017,SP,1p0,flat,2,50,0.02,1,49,0.593604533983026,0.609510218650578,0.611617541324922
H1018,SP,0p25,flat,1,50,0.02,1,49,0.788988808044222,0.790825278194458,0.816289940536292
H1018,SP,0p25,flat,2,50,0.02,1,49,0.828946108739773,0.835956741508987,0.852461285110061
H1018,SP,0p5,flat,1,50,0.02,1,49,0.745648945201793,0.760925502143731,0.743966658047369
H1018,SP,0p5,flat,2,50,0.02,1,49,0.674136192203626,0.653621792554503,0.684806103141798
H1018,SP,0p75,flat,1,50,0.02,1,49,0.572122585600356,0.569905556446785,0.591238380884042
H1018,SP,0p75,flat,2,50,0.02,1,49,0.511628410914567,0.53711682328127,0.488091779355977
H1018,SP,1p0,flat,1,50,0.02,1,49,0.559476324510273,0.569667175534803,0.567066183695631
H1018,SP,1p0,flat,2,50,0.02,1,49,0.499857818190807,0.506435898897644,0.496447171017944
H1019,SP,0p25,flat,1,50,0.02,1,49,0.908294984584949,0.911374686396098,0.908142223198099
H1019,SP,0p25,flat,2,50,0.02,1,49,0.862608935301759,0.873581857612898,0.842285037295227
H1019,SP,0p5,flat,1,50,0.02,1,49,0.542937458742352,0.548587384015869,0.531879197602979
H1019,SP,0p5,flat,2,50,0.02,1,49,0.804592344342351,0.851205185076413,0.808833191166477
H1019,SP,0p75,flat,1,50,0.02,1,49,0.708575672230288,0.722652343804624,0.716542217824182
H1019,SP,0p75,flat,2,50,0.02,1,49,0.616759114755093,0.622236443502117,0.63672967856911
H1019,SP,1p0,flat,1,50,0.02,1,49,0.514684028560001,0.506541648665948,0.496032110461995
H1019,SP,1p0,flat,2,50,0.02,1,49,0.613950318447268,0.661377851258384,0.652606466327427
H1020,SP,0p25,flat,1,50,0.02,1,49,0.797240697371998,0.801821509501731,0.759156181755621
H1020,SP,0p25,flat,2,50,0.02,1,49,0.880350186219765,0.895760925109276,0.892336602327727
H1020,SP,0p5,flat,1,50,0.02,1,49,0.68204456197102,0.672183471711523,0.695724505657074
H1020,SP,0p5,flat,2,50,0.02,1,49,0.537099420073535,0.521012349441659,0.571126054911992
H1020,SP,0p75,flat,1,50,0.02,1,49,0.769336980206274,0.828382144985145,0.755029095250209
H1020,SP,0p75,flat,2,50,0.02,1,49,0.530438368802367,0.560717413301316,0.519678221246859
H1020,SP,1p0,flat,1,50,0.02,1,49,0.516923049200255,0.52590257041706,0.506169593291515
H1020,SP,1p0,flat,2,50,0.02,1,49,0.541500524378848,0.54870103233466,0.586755114179808
H1022,SP,0p25,flat,1,50,0.02,1,49,0.487369936143393,0.458383235038615,0.48952511578009
H1022,SP,0p25,flat,2,50,0.02,1,49,0.542384627594039,0.538972495608937,0.533728895362214
H1022,SP,0p5,flat,1,50,0.02,1,49,0.491323236878331,0.486175845493726,0.497073550795273
H1022,SP,0p5,flat,2,50,0.02,1,49,0.494518202874361,0.517048866937914,0.500094272797084
H1022,SP,0p75,flat,1,50,0.02,1,49,0.639502647449731,0.654093682149512,0.649936238553316
H1022,SP,0p75,flat,2,50,0.02,1,49,0.93624315967806,0.937949120641639,0.942278859619311
H1022,SP,1p0,flat,1,50,0.02,1,49,0.502273513827728,0.507443134640756,0.485740674213265
H1022,SP,1p0,flat,2,50,0.02,1,49,0.485811212321568,0.488930533756437,0.497361419871786
H1024,SP,0p25,flat,1,50,0.02,1,49,0.765105663134815,0.760270689722403,0.778146513890611
H1024,SP,0p25,flat,2,50,0.02,1,49,0.562371882649485,0.571181300151331,0.581026447849373
H1024,SP,0p5,flat,1,50,0.02,1,49,0.541027767597724,0.542310875413298,0.540651812209423
H1024,SP,0p5,flat,2,50,0.02,1,49,0.661356862194237,0.720719371082931,0.657717210036439
H1024,SP,0p75,flat,1,50,0.02,1,49,0.609422842910907,0.599793434945674,0.593199532507173
H1024,SP,0p75,flat,2,50,0.02,1,49,0.618717141533938,0.603767056463069,0.601556990823296
H1024,SP,1p0,flat,1,50,0.02,1,49,0.681158217827937,0.676293534228852,0.683180647814815
H1024,SP,1p0,flat,2,50,0.02,1,49,0.544719923552796,0.535112756169506,0.530107901647787
