id,treadmill,speed,terrain,trial,n.stride.intervals.left,n.stride.intervals.right,n.stride.intervals.diff
H1002,SP,0p25,NaN,1,71,71,0
H1002,SP,0p25,NaN,2,74,76,-2
H1002,SP,0p5,NaN,1,98,99,-1
H1002,SP,0p5,NaN,2,98,97,1
H1002,SP,0p75,NaN,1,122,122,0
H1002,SP,0p75,NaN,2,123,124,-1
H1002,SP,1p0,NaN,1,140,141,-1
H1002,SP,1p0,NaN,2,144,145,-1
H1002,TM,NaN,flat,1,132,132,0
H1002,TM,NaN,flat,2,133,132,1
H1002,TM,NaN,high,1,129,130,-1
H1002,TM,NaN,high,2,132,130,2
H1002,TM,NaN,low,1,129,129,0
H1002,TM,NaN,low,2,131,131,0
H1002,TM,NaN,med,1,127,128,-1
H1002,TM,NaN,med,2,130,129,1
H1004,SP,0p25,NaN,1,76,75,1
H1004,SP,0p25,NaN,2,75,72,3
H1004,SP,0p5,NaN,1,109,109,0
H1004,SP,0p5,NaN,2,106,107,-1
H1004,SP,0p75,NaN,1,127,128,-1
H1004,SP,0p75,NaN,2,129,129,0
H1004,SP,1p0,NaN,1,144,144,0
H1004,SP,1p0,NaN,2,146,147,-1
H1004,TM,NaN,flat,1,138,139,-1
H1004,TM,NaN,flat,2,140,139,1
H1004,TM,NaN,high,1,146,146,0
H1004,TM,NaN,high,2,136,136,0
H1004,TM,NaN,low,1,132,132,0
H1004,TM,NaN,low,2,134,133,1
H1004,TM,NaN,med,1,137,138,-1
H1004,TM,NaN,med,2,136,137,-1
H1007,SP,0p25,NaN,1,66,62,4
H1007,SP,0p25,NaN,2,68,68,0
H1007,SP,0p5,NaN,1,92,91,1
H1007,SP,0p5,NaN,2,95,95,0
H1007,SP,0p75,NaN,1,120,118,2
H1007,SP,0p75,NaN,2,118,119,-1
H1007,SP,1p0,NaN,1,143,144,-1
H1007,SP,1p0,NaN,2,143,144,-1
H1007,TM,NaN,flat,1,134,136,-2
H1007,TM,NaN,flat,2,136,136,0
H1007,TM,NaN,high,1,125,123,2
H1007,TM,NaN,high,2,131,129,2
H1007,TM,NaN,low,1,133,132,1
H1007,TM,NaN,low,2,128,128,0
H1007,TM,NaN,med,1,126,127,-1
H1007,TM,NaN,med,2,129,129,0
H1009,SP,0p25,NaN,1,69,69,0
H1009,SP,0p25,NaN,2,70,71,-1
H1009,SP,0p5,NaN,1,104,105,-1
H1009,SP,0p5,NaN,2,104,105,-1
H1009,SP,0p75,NaN,1,129,129,0
H1009,SP,0p75,NaN,2,132,132,0
H1009,SP,1p0,NaN,1,149,150,-1
H1009,SP,1p0,NaN,2,149,148,1
H1009,TM,NaN,flat,1,123,124,-1
H1009,TM,NaN,flat,2,124,126,-2
H1009,TM,NaN,high,1,131,132,-1
H1009,TM,NaN,high,2,129,130,-1
H1009,TM,NaN,low,1,123,123,0
H1009,TM,NaN,low,2,123,123,0
H1009,TM,NaN,med,1,124,124,0
H1009,TM,NaN,med,2,125,125,0
H1010,SP,0p25,NaN,1,56,57,-1
H1010,SP,0p25,NaN,2,55,57,-2
H1010,SP,0p5,NaN,1,95,94,1
H1010,SP,0p5,NaN,2,95,96,-1
H1010,SP,0p75,NaN,1,124,125,-1
H1010,SP,0p75,NaN,2,135,134,1
H1010,SP,1p0,NaN,1,155,154,1
H1010,SP,1p0,NaN,2,153,153,0
H1010,TM,NaN,flat,1,138,138,0
H1010,TM,NaN,flat,2,142,141,1
H1010,TM,NaN,high,1,140,139,1
H1010,TM,NaN,high,2,139,139,0
H1010,TM,NaN,low,1,131,132,-1
H1010,TM,NaN,low,2,131,132,-1
H1010,TM,NaN,med,1,130,132,-2
H1010,TM,NaN,med,2,130,130,0
H1011,SP,0p25,NaN,1,56,58,-2
H1011,SP,0p25,NaN,2,60,60,0
H1011,SP,0p5,NaN,1,100,100,0
H1011,SP,0p5,NaN,2,94,93,1
H1011,SP,0p75,NaN,1,117,118,-1
H1011,SP,0p75,NaN,2,120,119,1
H1011,SP,1p0,NaN,1,139,139,0
H1011,SP,1p0,NaN,2,140,139,1
H1011,TM,NaN,flat,1,154,154,0
H1011,TM,NaN,flat,2,153,153,0
H1011,TM,NaN,high,1,167,170,-3
H1011,TM,NaN,high,2,172,172,0
H1011,TM,NaN,low,1,151,151,0
H1011,TM,NaN,low,2,153,152,1
H1011,TM,NaN,med,1,161,161,0
H1011,TM,NaN,med,2,155,154,1
H1012,SP,0p25,NaN,1,66,70,-4
H1012,SP,0p25,NaN,2,71,72,-1
H1012,SP,0p5,NaN,1,104,104,0
H1012,SP,0p5,NaN,2,100,101,-1
H1012,SP,0p75,NaN,1,129,130,-1
H1012,SP,0p75,NaN,2,125,125,0
H1012,SP,1p0,NaN,1,147,148,-1
H1012,SP,1p0,NaN,2,145,144,1
H1012,TM,NaN,flat,1,119,118,1
H1012,TM,NaN,flat,2,118,118,0
H1012,TM,NaN,high,1,143,143,0
H1012,TM,NaN,high,2,140,138,2
H1012,TM,NaN,low,1,124,124,0
H1012,TM,NaN,low,2,120,121,-1
H1012,TM,NaN,med,1,150,150,0
H1012,TM,NaN,med,2,128,129,-1
H1013,SP,0p25,NaN,1,76,77,-1
H1013,SP,0p25,NaN,2,59,56,3
H1013,SP,0p5,NaN,1,94,93,1
H1013,SP,0p5,NaN,2,96,97,-1
H1013,SP,0p75,NaN,1,122,122,0
H1013,SP,0p75,NaN,2,123,121,2
H1013,SP,1p0,NaN,1,146,145,1
H1013,SP,1p0,NaN,2,145,144,1
H1013,TM,NaN,flat,1,137,137,0
H1013,TM,NaN,flat,2,138,135,3
H1013,TM,NaN,high,1,179,180,-1
H1013,TM,NaN,high,2,150,148,2
H1013,TM,NaN,low,1,133,131,2
H1013,TM,NaN,low,2,137,138,-1
H1013,TM,NaN,med,1,141,137,4
H1013,TM,NaN,med,2,146,144,2
H1017,SP,0p25,NaN,1,59,60,-1
H1017,SP,0p25,NaN,2,61,62,-1
H1017,SP,0p5,NaN,1,99,99,0
